"filename", "language", "YAML", "JSON", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "HTML", "MS SQL", "Prisma", "Docker", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\graph\EventBus.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 12, 152
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\graph\SimpleStateGraph.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 32, 351
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\graph\graph.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\graph\graph.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 49
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\isLogin.guard.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 72
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\main.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 29
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\mcp-client\mcp-client.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\mcp-client\mcp-client.service.ts", "TypeScript", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 18, 260
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\mcp-client\mcp.d.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 35
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\mcp-client\mcp.type.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 55
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\mcp-client\schemaPatch.util.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 5, 121
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\HAModelClient\HAModelClient.module.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\HAModelClient\services\HAModelClient.service.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 8, 179
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\HAModelClient\services\circuit-breaker.service.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 43
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\HAModelClient\services\rate-limiter.service.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 45
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\HAModelClient\services\request-queue.service.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 62
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\HAModelClient\services\retry.service.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 53
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\chat_history.service.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 102
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\model.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 18
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\model.service.ts", "TypeScript", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 15, 236
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\model\model.types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\dto\project.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\dto\projectMined.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\dto\projectPolished.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\entities\project.entity.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 67
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\entities\projectMined.entity.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 49
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\entities\projectPolished.entity.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 55
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\project.controller.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 4, 67
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\project.module.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 29
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\project\project.service.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14, 124
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\prompt\prompt.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\prompt\prompt.service.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 78
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\rag\Rag.controller.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\rag\Rag.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\rag\Rag.service.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 103
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\redis\redis.module.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\redis\redis.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 43
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\session\session-pool.controller.spec.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\session\session-pool.controller.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 8, 99
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\session\session-pool.module.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\session\session-pool.service.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\session\session-pool.service.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 19, 129
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\sse\LLMCache.service.ts", "TypeScript", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 38, 251
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\sse\sse.controller.spec.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\sse\sse.controller.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 165
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\sse\sse.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\sse\sse.service.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\sse\sse.service.ts", "TypeScript", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 25, 214
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\task-queue\task-queue.module.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\task-queue\task-queue.service.ts", "TypeScript", 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 55, 422
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\user\dto\login-user.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
