"filename", "language", "JSON", "JavaScript", "YAML", "XML", "TypeScript", "JSON with Comments", "Docker", "Markdown", "Prisma", "MS SQL", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\resume\resume.controller.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\resume\resume.module.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\resume\resume.service.ts", "TypeScript", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 150
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\skill\dto\create-skill.dto.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\skill\dto\update-skill.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\skill\entities\skill.entity.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\skill\skill.controller.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\skill\skill.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\business\skill\skill.service.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\chain\chain.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\chain\chain.service.ts", "TypeScript", 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 40, 26, 406
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\copilot\copilot.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\copilot\copilotkit.controller.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\dataFormat.interceptor.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\decorator.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\email\email.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\email\email.service.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\errorHandle.filter.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\graph\DiyStateGraph.ts", "TypeScript", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 87, 19, 224
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\graph\SimpleStateGraph.ts", "TypeScript", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 150, 32, 351
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\graph\graph.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\graph\graph.service.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 52
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\isLogin.guard.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 72
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\main.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 24
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\mcp-client\mcp-client.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\mcp-client\mcp-client.service.ts", "TypeScript", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 56, 18, 260
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\mcp-client\mcp.d.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 35
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\mcp-client\mcp.type.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 55
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\mcp-client\schemaPatch.util.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 78, 5, 121
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\HAModelClient\HAModelClient.module.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\HAModelClient\services\HAModelClient.service.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 89, 8, 179
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\HAModelClient\services\circuit-breaker.service.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 43
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\HAModelClient\services\rate-limiter.service.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 45
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\HAModelClient\services\request-queue.service.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 62
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\HAModelClient\services\retry.service.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 53
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\chat_history.service.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 103
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\model.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 18
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\model.service.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 89, 15, 237
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\model\model.types.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
